Journal title,Year,Source ID,Publications
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1942,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1943,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1944,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1945,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1946,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1947,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1948,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1949,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1950,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1951,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1952,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1953,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1954,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1955,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1956,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1957,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1958,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1959,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1960,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1961,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1962,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1963,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1964,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1965,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1966,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1967,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1968,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1969,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1970,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1971,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1972,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1973,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1974,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1975,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1976,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1977,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1978,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1979,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1980,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1981,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1982,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1983,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1984,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1985,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1986,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1987,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1988,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1989,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1990,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1991,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1992,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1993,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1994,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1995,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1996,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1997,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1998,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",1999,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2000,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2001,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2002,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2003,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2004,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2005,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2006,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2007,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2008,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2009,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2010,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2011,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2012,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2013,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2014,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2015,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2016,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2017,21100947048,22
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2018,21100861054,75
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2019,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2020,,0
"2017 7th international conference on affective computing and intelligent interaction, acii 2017",2021,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1942,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1943,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1944,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1945,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1946,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1947,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1948,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1949,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1950,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1951,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1952,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1953,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1954,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1955,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1956,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1957,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1958,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1959,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1960,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1961,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1962,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1963,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1964,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1965,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1966,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1967,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1968,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1969,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1970,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1971,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1972,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1973,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1974,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1975,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1976,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1977,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1978,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1979,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1980,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1981,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1982,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1983,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1984,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1985,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1986,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1987,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1988,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1989,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1990,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1991,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1992,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1993,,0
"2019 8th international conference on affective computing and intelligent interaction workshops and demos, aciiw 2019",1994,,0
