Publication year,All articles (left axis),W/duplicates (left axis),500+ char abs (left axis),All articles (right axis),W/duplicates (right axis),500+ char abs (right axis),1000+ char abs,2000+ character abstract,500+ character abstract,1000+ character abstract,2000+ character abstract
1900,10292,15497,62,10292,15497,62,40,8,1%,0%,0%
1901,10447,15970,64,10447,15970,64,27,4,1%,0%,0%
1902,10845,16642,86,10845,16642,86,34,7,1%,0%,0%
1903,11177,16944,64,11177,16944,64,29,5,1%,0%,0%
1904,11404,17093,109,11404,17093,109,48,6,1%,0%,0%
1905,11929,18338,149,11929,18338,149,83,10,1%,1%,0%
1906,12480,19573,163,12480,19573,163,66,8,1%,1%,0%
1907,13437,21438,203,13437,21438,203,100,12,2%,1%,0%
1908,14026,22288,249,14026,22288,249,113,25,2%,1%,0%
1909,14556,22738,315,14556,22738,315,163,46,2%,1%,0%
1910,14240,22221,314,14240,22221,314,148,30,2%,1%,0%
1911,14529,23592,443,14529,23592,443,208,26,3%,1%,0%
1912,15801,25364,482,15801,25364,482,222,47,3%,1%,0%
1913,16449,25283,458,16449,25283,458,202,29,3%,1%,0%
1914,15372,23878,523,15372,23878,523,261,66,3%,2%,0%
1915,13119,20252,612,13119,20252,612,260,44,5%,2%,0%
1916,12547,19621,638,12547,19621,638,284,72,5%,2%,1%
1917,11286,18022,644,11286,18022,644,281,46,6%,2%,0%
1918,11373,18442,459,11373,18442,459,220,37,4%,2%,0%
1919,11507,18243,638,11507,18243,638,280,60,6%,2%,1%
1920,13434,21606,692,13434,21606,692,381,90,5%,3%,1%
1921,16077,26137,876,16077,26137,876,470,85,5%,3%,1%
1922,18196,28849,1153,18196,28849,1153,625,149,6%,3%,1%
1923,18528,30265,1285,18528,30265,1285,645,139,7%,3%,1%
1924,20412,33215,1179,20412,33215,1179,577,85,6%,3%,0%
1925,21843,36231,1548,21843,36231,1548,679,139,7%,3%,1%
1926,23893,39612,1779,23893,39612,1779,797,139,7%,3%,1%
1927,25010,40430,1981,25010,40430,1981,880,151,8%,4%,1%
1928,26778,43366,2256,26778,43366,2256,1034,203,8%,4%,1%
1929,26374,43073,2267,26374,43073,2267,1015,188,9%,4%,1%
1930,29097,48009,2782,29097,48009,2782,1140,193,10%,4%,1%
1931,27932,45707,3092,27932,45707,3092,1330,241,11%,5%,1%
1932,29690,49757,3256,29690,49757,3256,1342,242,11%,5%,1%
1933,29626,51036,3341,29626,51036,3341,1371,218,11%,5%,1%
1934,29034,49108,3678,29034,49108,3678,1406,206,13%,5%,1%
1935,29516,49827,3723,29516,49827,3723,1466,246,13%,5%,1%
1936,30073,50195,3990,30073,50195,3990,1571,215,13%,5%,1%
1937,30116,51124,4338,30116,51124,4338,1699,259,14%,6%,1%
1938,29772,50055,4662,29772,50055,4662,1940,290,16%,7%,1%
1939,30101,50792,4890,30101,50792,4890,2013,297,16%,7%,1%
1940,26808,45108,4875,26808,45108,4875,1952,285,18%,7%,1%
1941,25234,43703,4655,25234,43703,4655,1818,265,18%,7%,1%
1942,24035,41319,4382,24035,41319,4382,1777,234,18%,7%,1%
1943,21355,36690,3664,21355,36690,3664,1405,226,17%,7%,1%
1944,20117,34602,3354,20117,34602,3354,1245,213,17%,6%,1%
1945,31812,46293,3262,31812,46293,3262,1202,177,10%,4%,1%
1946,61556,84030,3965,61556,84030,3965,1503,235,6%,2%,0%
1947,76803,103819,4846,76803,103819,4846,1775,257,6%,2%,0%
1948,85270,117094,6117,85270,117094,6117,2157,323,7%,3%,0%
1949,83384,118388,7455,83384,118388,7455,2703,467,9%,3%,1%
1950,110701,151172,9024,110701,151172,9024,3037,422,8%,3%,0%
1951,130004,175158,10441,130004,175158,10441,3614,480,8%,3%,0%
1952,136000,184250,11442,136000,184250,11442,3821,439,8%,3%,0%
1953,135535,185812,11972,135535,185812,11972,4259,537,9%,3%,0%
